"HS2","HS4","HS6","HS8","HS10"
"01","0101","010110","01011010","0101101000"
"02","0102","010111","01011090","0101109000"
"03","0103","010119","01011100","0101110000"
"04","0104","010120","01011910","0101191000"
"05","0105","010121","01011990","0101199000"
"06","0106","010129","01012010","0101201000"
"07","0201","010130","01012090","0101209000"
"08","0202","010190","01012100","0101210000"
"09","0203","010210","01012910","0101291000"
"10","0204","010221","01012990","0101299000"
"11","0205","010229","01013000","0101300000"
"12","0206","010231","01019000","0101900000"
"13","0207","010239","01019011","0101901100"
"14","0208","010290","01019019","0101901900"
"15","0209","010310","01019030","0101903000"
"16","0210","010391","01019090","0101909000"
"17","0301","010392","01021010","0102101000"
"18","0302","010410","01021030","0102103000"
"19","0303","010420","01021090","0102109000"
"20","0304","010511","01022110","0102211000"
"21","0305","010512","01022130","0102213000"
"22","0306","010513","01022190","0102219000"
"23","0307","010514","01022905","0102290500"
"24","0308","010515","01022910","0102291000"
"25","0309","010519","01022921","0102292100"
"26","0401","010592","01022929","0102292900"
"27","0402","010593","01022941","0102294100"
"28","0403","010594","01022949","0102294900"
"29","0404","010599","01022951","0102295100"
"30","0405","010600","01022959","0102295900"
"31","0406","010611","01022961","0102296100"
"32","0407","010612","01022969","0102296900"
"33","0408","010613","01022971","0102297100"
"34","0409","010614","01022979","0102297900"
"35","0410","010619","01022991","0102299100"
"36","0501","010620","01022999","0102299900"
"37","0502","010631","01023100","0102310000"
"38","0503","010632","01023910","0102391000"
"39","0504","010633","01023990","0102399000"
"40","0505","010639","01029005","0102900500"
"41","0506","010641","01029020","0102902000"
"42","0507","010649","01029021","0102902100"
"43","0508","010690","01029029","0102902900"
"44","0509","020110","01029041","0102904100"
"45","0510","020120","01029049","0102904900"
"46","0511","020130","01029051","0102905100"
"47","0601","020200","01029059","0102905900"
"48","0602","020210","01029061","0102906100"
"49","0603","020220","01029069","0102906900"
"50","0604","020230","01029071","0102907100"
"51","0701","020300","01029079","0102907900"
"52","0702","020311","01029090","0102909000"
"53","0703","020312","01029091","0102909100"
"54","0704","020319","01029099","0102909900"
"55","0705","020321","01031000","0103100000"
"56","0706","020322","01039110","0103911000"
"57","0707","020329","01039190","0103919000"
"58","0708","020410","01039211","0103921100"
"59","0709","020421","01039219","0103921900"
"60","0710","020422","01039290","0103929000"
"61","0711","020423","01041010","0104101000"
"62","0712","020430","01041030","0104103000"
"63","0713","020441","01041080","0104108000"
"64","0714","020442","01042010","0104201000"
"65","0801","020443","01042090","0104209000"
"66","0802","020450","01051111","0105111100"
"67","0803","020500","01051119","0105111900"
"68","0804","020600","01051191","0105119100"
"69","0805","020610","01051199","0105119900"
"70","0806","020621","01051200","0105120000"
"71","0807","020622","01051300","0105130000"
"72","0808","020629","01051400","0105140000"
"73","0809","020630","01051500","0105150000"
"74","0810","020641","01051920","0105192000"
"75","0811","020649","01051990","0105199000"
"76","0812","020680","01059200","0105920000"
"78","0813","020690","01059300","0105930000"
"79","0814","020700","01059400","0105940000"
"80","0901","020710","01059910","0105991000"
"81","0902","020711","01059920","0105992000"
"82","0903","020712","01059930","0105993000"
"83","0904","020713","01059950","0105995000"
"84","0905","020714","01060010","0106001000"
"85","0906","020721","01060020","0106002000"
"86","0907","020722","01060090","0106009010"
"87","0908","020723","01061100","0106009090"
"88","0909","020724","01061200","0106110010"
"89","0910","020725","01061300","0106110090"
"90","1001","020726","01061410","0106120010"
"91","1002","020727","01061490","0106120090"
"92","1003","020732","01061900","0106130010"
"93","1004","020733","01061910","0106130090"
"94","1005","020734","01061990","0106141010"
"95","1006","020735","01062000","0106141090"
"96","1007","020736","01063100","0106149010"
"97","1008","020739","01063200","0106149090"
"99","1101","020741","01063300","0106190010"
,"1102","020742","01063910","0106190091"
,"1103","020743","01063980","0106190092"
,"1104","020744","01063990","0106190093"
,"1105","020745","01064100","0106190094"
,"1106","020750","01064900","0106190099"
,"1107","020751","01069000","0106191000"
,"1108","020752","02011000","0106199010"
,"1109","020753","02012020","0106199091"
,"1201","020754","02012030","0106199092"
,"1202","020755","02012050","0106199093"
,"1203","020760","02012090","0106199094"
,"1204","020810","02013000","0106199099"
,"1205","020820","02020000","0106200010"
,"1206","020830","02021000","0106200090"
,"1207","020840","02022010","0106310010"
,"1208","020850","02022030","0106310090"
,"1209","020860","02022050","0106320010"
,"1210","020890","02022090","0106320090"
,"1211","020900","02023010","0106330010"
,"1212","020910","02023050","0106330090"
,"1213","020990","02023090","0106391000"
,"1214","021000","02030000","0106398010"
,"1301","021011","02031110","0106398090"
,"1302","021012","02031190","0106399010"
,"1401","021019","02031211","0106399090"
,"1402","021020","02031219","0106410001"
,"1403","021090","02031290","0106410002"
,"1404","021091","02031911","0106410003"
,"1501","021092","02031913","0106410008"
,"1502","021093","02031915","0106410009"
,"1503","021099","02031955","0106490001"
,"1504","030110","02031959","0106490009"
,"1505","030111","02031990","0106900010"
,"1506","030119","02032110","0106900090"
,"1507","030191","02032190","0106900091"
,"1508","030192","02032211","0106900092"
,"1509","030193","02032219","0106900093"
,"1510","030194","02032290","0106900099"
,"1511","030195","02032911","0201100000"
,"1512","030199","02032913","0201100001"
,"1513","030211","02032915","0201100002"
,"1514","030212","02032955","0201100003"
,"1515","030213","02032959","0201100008"
,"1516","030214","02032990","0201100009"
,"1517","030219","02041000","0201202000"
,"1518","030221","02042100","0201202001"
,"1520","030222","02042210","0201202002"
